,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
242,243,Technicien du Ministère de la Transition écologique et solidaire,B,2,12,inf,599,504,2361.76,504.0
243,244,Technicien du Ministère de la Transition écologique et solidaire,B,2,13,inf,638,534,2502.34,534.0
244,245,Technicien du Ministère de la Transition écologique et solidaire,B,3,1,inf,372,343,1607.31,343.0
245,246,Technicien du Ministère de la Transition écologique et solidaire,B,3,2,inf,379,349,1635.42,349.0
246,247,Technicien du Ministère de la Transition écologique et solidaire,B,3,3,inf,388,355,1663.54,355.0
247,248,Technicien du Ministère de la Transition écologique et solidaire,B,3,4,inf,397,361,1691.66,361.0
248,249,Technicien du Ministère de la Transition écologique et solidaire,B,3,5,inf,415,369,1729.14,369.0
249,250,Technicien du Ministère de la Transition écologique et solidaire,B,3,6,inf,431,381,1785.38,381.0
250,251,Technicien du Ministère de la Transition écologique et solidaire,B,3,7,inf,452,396,1855.67,396.0
251,252,Technicien du Ministère de la Transition écologique et solidaire,B,3,8,inf,478,415,1944.7,415.0
252,253,Technicien du Ministère de la Transition écologique et solidaire,B,3,9,inf,500,431,2019.68,431.0
253,254,Technicien du Ministère de la Transition écologique et solidaire,B,3,10,inf,513,441,2066.54,441.0
254,255,Technicien du Ministère de la Transition écologique et solidaire,B,3,11,inf,538,457,2141.51,457.0
255,256,Technicien du Ministère de la Transition écologique et solidaire,B,3,12,inf,563,477,2235.23,477.0
256,257,Technicien du Ministère de la Transition écologique et solidaire,B,3,13,inf,597,503,2357.07,503.0
257,258,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,1,inf,446,392,1836.92,392.0
258,259,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,2,inf,461,404,1893.15,404.0
259,260,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,3,inf,484,419,1963.44,419.0
260,261,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,4,inf,513,441,2066.54,441.0
261,262,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,5,inf,547,465,2179.0,465.0
262,263,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,6,inf,573,484,2268.04,484.0
263,264,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,7,inf,604,508,2380.5,508.0
264,265,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,8,inf,638,534,2502.34,534.0
265,266,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,9,inf,660,551,2582.0,551.0
266,267,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,10,inf,684,569,2666.35,569.0
267,268,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,1,11,inf,707,587,2750.7,587.0
268,269,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,1,inf,389,356,1668.22,356.0
