web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651682562-12327,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEA3,-,1 an,"4 554,82 €",A,,
1651680771-2053,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEE2,-,-,"6 227,73 €",A,,
1651682562-12323,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,4,977,792,3 ans,"3 711,33 €",A,,
1651682511-11930,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,8,506,436,3 ans,"2 043,11 €",,B,
1651680771-2040,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,3,HEB,-,1 an,"4 554,82 €",A,,
1651680773-2100,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade provisoire de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-provisoire-ordre-judiciaire/1/6239.htm,5,762,628,2 ans,"2 942,82 €",A,,
1651682511-11916,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,5,547,465,2 ans,"2 179,00 €",,B,
1651682562-12315,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEC2,-,1 an,"5 379,56 €",A,,
1651682049-9019,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Chef de service comptable du Trésor public,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service-comptable-tresor-public/1/5283.htm,,,,,,,,
1651680778-2140,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,,HEA2,-,1 an,"4 334,57 €",A,,
1651682562-12320,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,1,813,667,2 ans,"3 125,58 €",A,,
1651680771-2036,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,1,1027,830,2 ans,"3 889,40 €",A,,
1651680771-2062,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,7,HEB,-,1 an,"4 554,82 €",A,,
1651682562-12308,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,3,HEB,-,1 an,"4 554,82 €",A,,
1651680771-2051,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HED3,-,1 an,"5 993,43 €",A,,
1651680778-2136,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,3,912,743,1 an 6 mois,"3 481,72 €",A,,
1651680776-2106,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-ordre-judiciaire/1/6240.htm,1,542,461,1 an,"2 160,26 €",A,,
1651680773-2096,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade provisoire de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-provisoire-ordre-judiciaire/1/6239.htm,1,542,461,1 an 6 mois,"2 160,26 €",A,,
